date,ticker,spot,atm_iv,technical_score,ema9_signal,vwap_signal,sma50_signal,macd_signal,macd_momentum_signal,rsi_signal,rel_volume_signal,bb_signal
2026-07-23 00:39:53.356373,QQQ,705.27001953125,0.272468212890625,-95.0,,,,,,,,
2026-07-23 04:59:07.163253,QQQ,705.27001953125,0.0014748291015625,-95.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2026-07-23 19:12:17.665519,QQQ,689.77001953125,0.2379074012756347,-70.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,0.0
2026-07-23 19:19:21.564952,QQQ,689.9199829101562,0.2338486039733886,-70.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,0.0
2026-07-24 16:54:56.416698,QQQ,689.0,0.1425561819458008,-10.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0
2026-07-27 14:58:46.639969,QQQ,681.1199951171875,0.2812114115905762,-34.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,0.0
2026-07-27 15:28:19.968770,QQQ,678.9000244140625,0.2479933599853515,-82.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
2026-07-27 16:27:14.942075,QQQ,681.5900268554688,0.2224809197998046,30.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0
2026-07-27 17:48:33.081144,QQQ,678.5900268554688,0.2281113566589355,10.0,1.0,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0
2026-07-28 13:07:30.090802,QQQ,682.0599975585938,0.0012306909179687,46.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,0.0
2026-07-28 16:06:08.977954,QQQ,678.5,0.2558362991333007,70.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0
2026-07-28 17:58:32.786715,QQQ,676.1483154296875,0.250160086364746,-22.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0
2026-07-29 16:42:48.751699,QQQ,665.2999877929688,0.3436039761352538,-50.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0
2026-07-29 17:14:31.685654,QQQ,670.6500244140625,0.3416813879394531,87.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2026-07-29 17:22:06.504022,QQQ,671.3800048828125,0.3329534478759766,82.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2026-07-29 17:35:19.270590,QQQ,669.6099853515625,0.3336400865173339,70.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0
2026-07-30 15:56:05.046609,QQQ,680.8800048828125,0.26976743423461913,50.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,0.0
