contractSymbol,expiration,DTE,option_type,strike,spot,bid,ask,mid,contract_cost,volume,open_interest,spread_pct,IV,BS_value,mispricing_vs_mid,delta,gamma,theta_per_day,theta_pct_of_premium,vega_per_vol_point,probability_ITM,probability_touch_approx,expected_move,scenario_spot_1sigma,scenario_value_after_1day,scenario_return_after_1day,technical_score,technical_direction,liquidity_score,decision_score,target_100pct_scenario,within_risk_budget,passes_liquidity_filter,distance_from_spot_pct
QQQ260723P00712000,2026-07-23,0.9189696845949074,put,712.0,705.27001953125,6.2,6.85,6.525,652.5,1322,489,0.0996168582375478,0.0937590625,6.686703691736625,0.024782174978793092,-0.9769643766126194,0.016436534485048122,-0.022118214527479838,0.003389764678540971,0.019299349780661425,0.9772320442020371,1.0,3.3179729349790983,701.9520465962709,10.0478991224536,0.5399079114871417,-95.0,bearish,0.8754789272030652,82.91137452456424,False,False,True,0.009542416779920737
QQQ260723P00711000,2026-07-23,0.9189696845949074,put,711.0,705.27001953125,5.37,5.92,5.645,564.5,3270,482,0.0974313551815766,0.0903411279296875,5.708595736447819,0.011265852337966287,-0.960831818535933,0.026490661297123522,-0.07235027794564636,0.012816701141832837,0.029970740565526968,0.9612262981592458,1.0,3.197018073705541,702.0730014575445,8.926944347947028,0.5813896099108997,-95.0,bearish,0.8782108060230293,82.82817247163317,False,False,True,0.008124520127139823
QQQ260723P00710000,2026-07-23,0.9189696845949074,put,710.0,705.27001953125,4.86,5.32,5.09,509.0,8064,912,0.09037328094302553,0.10913976806640624,4.874843511495214,-0.04227042996164743,-0.884811744338537,0.0503104456215506,-0.33934287061255114,0.06666854039539315,0.06876387726803423,0.8858835173584035,1.0,3.8622698107101057,701.4077497205399,8.592196164239567,0.6880542562356715,-95.0,bearish,0.8870333988212181,81.67034796120964,False,False,True,0.00670662347435913
QQQ260723P00709000,2026-07-23,0.9189696845949074,put,709.0,705.27001953125,4.29,4.78,4.535,453.5,15235,903,0.10804851157662629,0.12207909179687501,4.139434313408856,-0.08722506870808033,-0.7999864178345003,0.06480331286692959,-0.5957222711663622,0.1313610300256587,0.09907353610632796,0.8017070052661277,1.0,4.320170356960003,700.94984917429,8.05009679174998,0.7751040334619579,-95.0,bearish,0.8649393605292172,79.4783439053967,False,False,True,0.005288726821578438
QQQ260723P00708000,2026-07-23,0.9189696845949074,put,708.0,705.27001953125,4.02,4.28,4.15,415.00000000000006,22260,1140,0.06265060240963871,0.13196668823242189,3.489390538471639,-0.15918300277791841,-0.713927100976352,0.07282514699718562,-0.8085580954018263,0.19483327600044006,0.12035519859342897,0.7161839212274671,1.0,4.670075491358507,700.5999440398915,7.400002008436218,0.7831330140810162,-95.0,bearish,0.9216867469879516,78.32163403151074,False,False,True,0.0038708301687975233
QQQ260723P00707000,2026-07-23,0.9189696845949074,put,707.0,705.27001953125,3.4,3.8,3.5999999999999996,359.99999999999994,23686,849,0.11111111111111109,0.13910773010253907,2.905889477745177,-0.1928084784041174,-0.6304530807343893,0.07666616157735054,-0.9617816051090925,0.2671615569747479,0.13355930487629344,0.6330922981104576,1.0,4.9227847550907615,700.3472347761592,6.652711355380916,0.8479753764946991,-95.0,bearish,0.8611111111111112,75.15728845798189,False,False,True,0.002452933516016831
QQQ260723P00706000,2026-07-23,0.9189696845949074,put,706.0,705.27001953125,3.09,3.38,3.235,323.5,23200,595,0.08964451313755797,0.14606566833496093,2.409230738790086,-0.25526097719008156,-0.5492340398481208,0.07658995064471102,-1.0706652022207157,0.3309629682289693,0.14010031306612378,0.5521412110340217,1.0,5.16901429411193,700.1010052371381,5.898940977676034,0.823474799899856,-95.0,bearish,0.8879443585780525,73.27358037595081,False,False,True,0.0010350368632359164
QQQ260723P00705000,2026-07-23,0.9189696845949074,put,705.0,705.27001953125,2.8,2.98,2.8899999999999997,288.99999999999994,31240,1370,0.06228373702422151,0.15137567382812503,1.970379690587606,-0.3182077195198594,-0.4730970058998322,0.07430197688817104,-1.1233051122202873,0.38868689004162194,0.14085608849250625,0.47612701091045556,0.9522540218209111,5.356926310733351,699.9130932205167,5.08685307812641,0.7601567744382043,-95.0,bearish,0.9221453287197231,71.43795638844203,False,False,True,0.00038285978954477606
QQQ260723P00704000,2026-07-23,0.9189696845949074,put,704.0,705.27001953125,2.5,2.7,2.6,260.0,10003,1301,0.07692307692307698,0.16010361389160155,1.6507590258923983,-0.36509268234907755,-0.404807113310206,0.06839763869376203,-1.163133348349826,0.44735898013454845,0.13713913620368093,0.4079284302421567,0.8158568604843134,5.665793188628326,699.6042263426217,4.395720038699551,0.690661553345981,-95.0,bearish,0.9038461538461537,68.65797890272727,False,False,True,0.0018007564423255795
QQQ260723P00703000,2026-07-23,0.9189696845949074,put,703.0,705.27001953125,2.13,2.3,2.215,221.5,10943,1796,0.07674943566591419,0.16083602844238282,1.2861408044078644,-0.4193495239693614,-0.3387057386740294,0.06428142737033214,-1.106689701745297,0.49963417686017925,0.12947562558155248,0.34166764639832864,0.6833352927966573,5.691712087472661,699.5783074437774,3.421639022913837,0.5447580238888656,-95.0,bearish,0.9040632054176072,65.8416620936427,False,False,True,0.003218653095106383
QQQ260723P00702000,2026-07-23,0.9189696845949074,put,702.0,705.27001953125,1.87,2.01,1.94,194.0,7562,752,0.07216494845360809,0.16492534301757814,1.024683196698419,-0.47181278520700054,-0.2816663286352367,0.05784160253597329,-1.0501242261295056,0.5413011474894359,0.11946670311102914,0.28447026258915875,0.5689405251783175,5.836425939353524,699.4335935918965,2.566352959034475,0.32286235001777075,-95.0,bearish,0.9097938144329899,62.91635239900042,False,False,True,0.0046365497478871864
QQQ260723P00701000,2026-07-23,0.9189696845949074,put,701.0,705.27001953125,1.62,1.87,1.745,174.5,5769,645,0.14326647564469913,0.17524018127441404,0.8801786321687928,-0.4955996377256202,-0.23993734585351748,0.050121686655381206,-1.0301186772493476,0.5903258895411734,0.10999641649023087,0.24268198051026152,0.48536396102052304,6.201450431411223,699.0685690998388,1.9313775332360592,0.10680660930433183,-95.0,bearish,0.8209169054441261,58.372429552371564,False,False,True,0.00605444640066799
QQQ260723P00700000,2026-07-23,0.9189696845949074,put,700.0,705.27001953125,1.5,1.55,1.525,152.5,42921,2344,0.03278688524590167,0.17408052490234377,0.6507230285550349,-0.5732963747180099,-0.19090030491552926,0.04417769880019422,-0.8973680186537101,0.5884380450188264,0.09631023517225748,0.19328901909749469,0.38657803819498937,6.160412174907695,699.1096073563423,0.8903393644582138,-0.4161709085519909,-95.0,bearish,0.9590163934426229,56.67892174360081,False,False,True,0.007472343053448793
QQQ260723C00680000,2026-07-23,0.9189696845949074,call,680.0,705.27001953125,25.56,29.5,27.53,2753.0,53,296,0.14311660007264806,0.6408727319335938,26.755266110914704,-0.028141441666738043,0.875716384406743,0.009039611958682107,-2.594157283752039,0.09423019555946381,0.07255055639001767,0.869012047641194,1.0,22.679390371696382,727.9494099029464,47.949461197184746,0.7417167162072191,-95.0,bearish,0.82110424990919,56.346468770127835,False,False,True,0.03583027610906453
QQQ260723P00670000,2026-07-23,0.9189696845949074,put,670.0,705.27001953125,0.05,0.06,0.055,5.5,1192,5045,0.18181818181818174,0.304694453125,0.0010540930396152337,-0.9808346720069957,-0.000376023193166723,0.00012654983623977455,-0.007976126748386275,0.1450204863342959,0.0004828867640063245,0.00039743603769568813,0.0007948720753913763,10.782615802147205,694.4874037291028,0.0,-1.0,-95.0,bearish,0.7727272727272728,53.38728931195641,False,True,True,0.05000924263687234
QQQ260723C00702000,2026-07-23,0.9189696845949074,call,702.0,705.27001953125,7.14,7.69,7.415,741.5,1043,577,0.07417397167902909,0.28211167114257807,5.865075243251454,-0.2090255909303501,0.6340039322282299,0.03768352629868194,-2.0918118599581854,0.28210544301526436,0.13313485061797908,0.6286736312080401,1.0,9.983449754446916,715.253469285697,13.25352258427256,0.7873934705694619,-95.0,bearish,0.9072825354012136,51.689025372495514,False,False,True,0.0046365497478871864
